,settlement_period,price,charge_MW,discharge_MW,soe_MWh,revenue,cycle,mwh_capacity
0,1,76.48193171996765,-0.0,0.0,0.0,0.0,1,0.5
1,2,77.36440568923669,0.0,0.0,0.0,0.0,1,0.5
2,3,75.60947094779715,0.0,0.0,0.0,0.0,1,0.5
3,4,73.71148673248487,0.0,0.0,0.0,0.0,1,0.5
4,5,71.61622523961535,0.0,0.0,0.0,0.0,1,0.5
5,6,71.61622523961535,0.0,0.0,0.0,0.0,1,0.5
6,7,68.62499546446934,0.0,0.0,0.0,0.0,1,0.5
7,8,67.27911179777008,0.0,0.0,0.0,0.0,1,0.5
8,9,65.29754754157437,0.0,0.0,0.0,0.0,1,0.5
9,10,65.72769816981105,0.0,0.0,0.0,0.0,1,0.5
10,11,65.58761318763906,0.0,0.0,0.0,0.0,1,0.5
11,12,67.38360292409112,0.0,0.0,0.0,0.0,1,0.5
12,13,72.08157948395775,0.0,0.0,0.0,0.0,1,0.5
13,14,76.36091305352869,0.0,0.0,0.0,0.0,1,0.5
14,15,79.29366895048989,0.0,0.0,0.0,0.0,1,0.5
15,16,78.97659915751132,0.0,0.0,0.0,0.0,1,0.5
16,17,77.34719966410722,0.0,0.0,0.0,0.0,1,0.5
17,18,73.87717011157949,0.0,0.0,0.0,0.0,1,0.5
18,19,71.68583647143747,0.0,0.0,0.0,0.0,1,0.5
19,20,68.63930573330768,0.0,0.0,0.0,0.0,1,0.5
20,21,64.54324293862092,0.0,0.0,0.0,0.0,1,0.5
21,22,62.18628356843754,0.0,0.0,0.0,0.0,1,0.5
22,23,58.97797628320774,0.0,0.0,0.0,0.0,1,0.5
23,24,57.54340176532567,0.0,0.0,0.0,0.0,1,0.5
24,25,56.300885068408704,0.0,0.0,0.0,0.0,1,0.5
25,26,56.30310233968827,0.0,0.0,0.0,0.0,1,0.5
26,27,54.8174640642377,1.0,0.0,0.5,-27.40873203211885,1,0.5
27,28,55.591291740807776,0.0,0.0,0.5,0.0,1,0.5
28,29,55.41507854040647,0.0,0.0,0.5,0.0,1,0.5
29,30,58.213274895224366,0.0,0.0,0.5,0.0,1,0.5
30,31,58.43239007761407,0.0,0.0,0.5,0.0,1,0.5
31,32,63.203957871249656,0.0,0.0,0.5,0.0,1,0.5
32,33,65.23627546703472,0.0,0.0,0.5,0.0,1,0.5
33,34,70.22291857478864,0.0,0.0,0.5,0.0,1,0.5
34,35,70.84041310525005,0.0,0.0,0.5,0.0,1,0.5
35,36,73.98893832224007,0.0,1.0,0.0,36.99446916112004,1,0.5
36,37,73.15129536097268,0.0,0.0,0.0,0.0,1,0.5
37,38,72.17791326924126,0.0,0.0,0.0,0.0,1,0.5
38,39,68.93066183125707,0.0,0.0,0.0,0.0,1,0.5
39,40,66.11694457748219,0.0,0.0,0.0,0.0,1,0.5
40,41,60.748418619976576,0.0,0.0,0.0,0.0,1,0.5
41,42,57.03670649797567,0.0,0.0,0.0,0.0,1,0.5
42,43,52.45951135652108,0.0,0.0,0.0,0.0,1,0.5
43,44,47.896367063165115,0.0,0.0,0.0,0.0,1,0.5
44,45,42.84136548186204,0.0,0.0,0.0,0.0,1,0.5
45,46,39.26490690791493,0.0,0.0,0.0,0.0,1,0.5
46,47,35.586438334208616,0.0,0.0,0.0,0.0,1,0.5
47,48,33.3381252567242,0.0,0.0,0.0,0.0,1,0.5
48,1,76.48193171996765,0.0,0.0,0.0,0.0,1,1.0
49,2,77.36440568923669,0.0,0.0,0.0,0.0,1,1.0
50,3,75.60947094779715,0.0,0.0,0.0,0.0,1,1.0
51,4,73.71148673248487,0.0,0.0,0.0,0.0,1,1.0
52,5,71.61622523961535,0.0,0.0,0.0,0.0,1,1.0
53,6,71.61622523961535,0.0,0.0,0.0,0.0,1,1.0
54,7,68.62499546446934,0.0,0.0,0.0,0.0,1,1.0
55,8,67.27911179777008,0.0,0.0,0.0,0.0,1,1.0
56,9,65.29754754157437,0.0,0.0,0.0,0.0,1,1.0
57,10,65.72769816981105,0.0,0.0,0.0,0.0,1,1.0
58,11,65.58761318763906,0.0,0.0,0.0,0.0,1,1.0
59,12,67.38360292409112,0.0,0.0,0.0,0.0,1,1.0
60,13,72.08157948395775,0.0,0.0,0.0,0.0,1,1.0
61,14,76.36091305352869,0.0,0.0,0.0,0.0,1,1.0
62,15,79.29366895048989,0.0,0.0,0.0,0.0,1,1.0
63,16,78.97659915751132,0.0,0.0,0.0,0.0,1,1.0
64,17,77.34719966410722,0.0,0.0,0.0,0.0,1,1.0
65,18,73.87717011157949,0.0,0.0,0.0,0.0,1,1.0
66,19,71.68583647143747,0.0,0.0,0.0,0.0,1,1.0
67,20,68.63930573330768,0.0,0.0,0.0,0.0,1,1.0
68,21,64.54324293862092,0.0,0.0,0.0,0.0,1,1.0
69,22,62.18628356843754,0.0,0.0,0.0,0.0,1,1.0
70,23,58.97797628320774,0.0,0.0,0.0,0.0,1,1.0
71,24,57.54340176532567,0.0,0.0,0.0,0.0,1,1.0
72,25,56.300885068408704,0.0,0.0,0.0,0.0,1,1.0
73,26,56.30310233968827,0.0,0.0,0.0,0.0,1,1.0
74,27,54.8174640642377,1.0,0.0,0.5,-27.40873203211885,1,1.0
75,28,55.591291740807776,0.0,0.0,0.5,0.0,1,1.0
76,29,55.41507854040647,1.0,0.0,1.0,-27.707539270203235,1,1.0
77,30,58.213274895224366,0.0,0.0,1.0,0.0,1,1.0
78,31,58.43239007761407,0.0,0.0,1.0,0.0,1,1.0
79,32,63.203957871249656,0.0,0.0,1.0,0.0,1,1.0
80,33,65.23627546703472,0.0,0.0,1.0,0.0,1,1.0
81,34,70.22291857478864,0.0,0.0,1.0,0.0,1,1.0
82,35,70.84041310525005,0.0,0.0,1.0,0.0,1,1.0
83,36,73.98893832224007,0.0,1.0,0.5,36.99446916112004,1,1.0
84,37,73.15129536097268,0.0,1.0,0.0,36.57564768048634,1,1.0
85,38,72.17791326924126,0.0,0.0,0.0,0.0,1,1.0
86,39,68.93066183125707,0.0,0.0,0.0,0.0,1,1.0
87,40,66.11694457748219,0.0,0.0,0.0,0.0,1,1.0
88,41,60.748418619976576,0.0,0.0,0.0,0.0,1,1.0
89,42,57.03670649797567,0.0,0.0,0.0,0.0,1,1.0
90,43,52.45951135652108,0.0,0.0,0.0,0.0,1,1.0
91,44,47.896367063165115,0.0,0.0,0.0,0.0,1,1.0
92,45,42.84136548186204,0.0,0.0,0.0,0.0,1,1.0
93,46,39.26490690791493,0.0,0.0,0.0,0.0,1,1.0
94,47,35.586438334208616,0.0,0.0,0.0,0.0,1,1.0
95,48,33.3381252567242,0.0,0.0,0.0,0.0,1,1.0
96,1,76.48193171996765,0.0,0.0,0.0,0.0,1,2.0
97,2,77.36440568923669,0.0,0.0,0.0,0.0,1,2.0
98,3,75.60947094779715,0.0,0.0,0.0,0.0,1,2.0
99,4,73.71148673248487,0.0,0.0,0.0,0.0,1,2.0
100,5,71.61622523961535,0.0,0.0,0.0,0.0,1,2.0
101,6,71.61622523961535,0.0,0.0,0.0,0.0,1,2.0
102,7,68.62499546446934,0.0,0.0,0.0,0.0,1,2.0
103,8,67.27911179777008,0.0,0.0,0.0,0.0,1,2.0
104,9,65.29754754157437,0.0,0.0,0.0,0.0,1,2.0
105,10,65.72769816981105,0.0,0.0,0.0,0.0,1,2.0
106,11,65.58761318763906,0.0,0.0,0.0,0.0,1,2.0
107,12,67.38360292409112,0.0,0.0,0.0,0.0,1,2.0
108,13,72.08157948395775,0.0,0.0,0.0,0.0,1,2.0
109,14,76.36091305352869,0.0,0.0,0.0,0.0,1,2.0
110,15,79.29366895048989,0.0,0.0,0.0,0.0,1,2.0
111,16,78.97659915751132,0.0,0.0,0.0,0.0,1,2.0
112,17,77.34719966410722,0.0,0.0,0.0,0.0,1,2.0
113,18,73.87717011157949,0.0,0.0,0.0,0.0,1,2.0
114,19,71.68583647143747,0.0,0.0,0.0,0.0,1,2.0
115,20,68.63930573330768,0.0,0.0,0.0,0.0,1,2.0
116,21,64.54324293862092,0.0,0.0,0.0,0.0,1,2.0
117,22,62.18628356843754,0.0,0.0,0.0,0.0,1,2.0
118,23,58.97797628320774,0.0,0.0,0.0,0.0,1,2.0
119,24,57.54340176532567,0.0,0.0,0.0,0.0,1,2.0
120,25,56.300885068408704,1.0,0.0,0.5,-28.150442534204352,1,2.0
121,26,56.30310233968827,0.0,0.0,0.5,0.0,1,2.0
122,27,54.8174640642377,1.0,0.0,1.0,-27.40873203211885,1,2.0
123,28,55.591291740807776,1.0,0.0,1.5,-27.795645870403888,1,2.0
124,29,55.41507854040647,1.0,0.0,2.0,-27.707539270203235,1,2.0
125,30,58.213274895224366,0.0,0.0,2.0,0.0,1,2.0
126,31,58.43239007761407,0.0,0.0,2.0,0.0,1,2.0
127,32,63.203957871249656,0.0,0.0,2.0,0.0,1,2.0
128,33,65.23627546703472,0.0,0.0,2.0,0.0,1,2.0
129,34,70.22291857478864,0.0,0.0,2.0,0.0,1,2.0
130,35,70.84041310525005,0.0,1.0,1.5,35.420206552625025,1,2.0
131,36,73.98893832224007,0.0,1.0,1.0,36.99446916112004,1,2.0
132,37,73.15129536097268,0.0,1.0,0.5,36.57564768048634,1,2.0
133,38,72.17791326924126,0.0,1.0,0.0,36.08895663462063,1,2.0
134,39,68.93066183125707,0.0,0.0,0.0,0.0,1,2.0
135,40,66.11694457748219,0.0,0.0,0.0,0.0,1,2.0
136,41,60.748418619976576,0.0,0.0,0.0,0.0,1,2.0
137,42,57.03670649797567,0.0,0.0,0.0,0.0,1,2.0
138,43,52.45951135652108,0.0,0.0,0.0,0.0,1,2.0
139,44,47.896367063165115,0.0,0.0,0.0,0.0,1,2.0
140,45,42.84136548186204,0.0,0.0,0.0,0.0,1,2.0
141,46,39.26490690791493,0.0,0.0,0.0,0.0,1,2.0
142,47,35.586438334208616,0.0,0.0,0.0,0.0,1,2.0
143,48,33.3381252567242,0.0,0.0,0.0,0.0,1,2.0
144,1,76.48193171996765,0.0,0.0,0.0,0.0,1,4.0
145,2,77.36440568923669,0.0,0.0,0.0,0.0,1,4.0
146,3,75.60947094779715,0.0,0.0,0.0,0.0,1,4.0
147,4,73.71148673248487,0.0,0.0,0.0,0.0,1,4.0
148,5,71.61622523961535,0.0,0.0,0.0,0.0,1,4.0
149,6,71.61622523961535,0.0,0.0,0.0,0.0,1,4.0
150,7,68.62499546446934,0.0,0.0,0.0,0.0,1,4.0
151,8,67.27911179777008,0.0,0.0,0.0,0.0,1,4.0
152,9,65.29754754157437,1.0,0.0,0.5,-32.64877377078719,1,4.0
153,10,65.72769816981105,1.0,0.0,1.0,-32.863849084905524,1,4.0
154,11,65.58761318763906,1.0,0.0,1.5,-32.79380659381953,1,4.0
155,12,67.38360292409112,0.0,0.0,1.5,0.0,1,4.0
156,13,72.08157948395775,0.0,0.0,1.5,0.0,1,4.0
157,14,76.36091305352869,0.0,0.0,1.5,0.0,1,4.0
158,15,79.29366895048989,0.0,1.0,1.0,39.646834475244944,1,4.0
159,16,78.97659915751132,0.0,1.0,0.5,39.48829957875566,1,4.0
160,17,77.34719966410722,0.0,1.0,0.0,38.67359983205361,1,4.0
161,18,73.87717011157949,0.0,0.0,0.0,0.0,1,4.0
162,19,71.68583647143747,0.0,0.0,0.0,0.0,1,4.0
163,20,68.63930573330768,0.0,0.0,0.0,0.0,1,4.0
164,21,64.54324293862092,0.0,0.0,0.0,0.0,1,4.0
165,22,62.18628356843754,0.0,0.0,0.0,0.0,1,4.0
166,23,58.97797628320774,0.0,0.0,0.0,0.0,1,4.0
167,24,57.54340176532567,0.0,0.0,0.0,0.0,1,4.0
168,25,56.300885068408704,1.0,0.0,0.5,-28.150442534204352,1,4.0
169,26,56.30310233968827,1.0,0.0,1.0,-28.151551169844137,1,4.0
170,27,54.8174640642377,1.0,0.0,1.5,-27.40873203211885,1,4.0
171,28,55.591291740807776,1.0,0.0,2.0,-27.795645870403888,1,4.0
172,29,55.41507854040647,1.0,0.0,2.5,-27.707539270203235,1,4.0
173,30,58.213274895224366,0.0,0.0,2.5,0.0,1,4.0
174,31,58.43239007761407,0.0,0.0,2.5,0.0,1,4.0
175,32,63.203957871249656,0.0,0.0,2.5,0.0,1,4.0
176,33,65.23627546703472,0.0,0.0,2.5,0.0,1,4.0
177,34,70.22291857478864,0.0,1.0,2.0,35.11145928739432,1,4.0
178,35,70.84041310525005,0.0,1.0,1.5,35.420206552625025,1,4.0
179,36,73.98893832224007,0.0,1.0,1.0,36.99446916112004,1,4.0
180,37,73.15129536097268,0.0,1.0,0.5,36.57564768048634,1,4.0
181,38,72.17791326924126,0.0,1.0,0.0,36.08895663462063,1,4.0
182,39,68.93066183125707,0.0,0.0,0.0,0.0,1,4.0
183,40,66.11694457748219,0.0,0.0,0.0,0.0,1,4.0
184,41,60.748418619976576,0.0,0.0,0.0,0.0,1,4.0
185,42,57.03670649797567,0.0,0.0,0.0,0.0,1,4.0
186,43,52.45951135652108,0.0,0.0,0.0,0.0,1,4.0
187,44,47.896367063165115,0.0,0.0,0.0,0.0,1,4.0
188,45,42.84136548186204,0.0,0.0,0.0,0.0,1,4.0
189,46,39.26490690791493,0.0,0.0,0.0,0.0,1,4.0
190,47,35.586438334208616,0.0,0.0,0.0,0.0,1,4.0
191,48,33.3381252567242,0.0,0.0,0.0,0.0,1,4.0
192,1,76.48193171996765,1.0,0.0,0.5,-38.240965859983824,1,8.0
193,2,77.36440568923669,0.0,1.0,0.0,38.682202844618345,1,8.0
194,3,75.60947094779715,0.0,0.0,0.0,0.0,1,8.0
195,4,73.71148673248487,0.0,0.0,0.0,0.0,1,8.0
196,5,71.61622523961535,0.0,0.0,0.0,0.0,1,8.0
197,6,71.61622523961535,0.0,0.0,0.0,0.0,1,8.0
198,7,68.62499546446934,1.0,0.0,0.5,-34.31249773223467,1,8.0
199,8,67.27911179777008,1.0,0.0,1.0,-33.63955589888504,1,8.0
200,9,65.29754754157437,1.0,0.0,1.5,-32.64877377078719,1,8.0
201,10,65.72769816981105,1.0,0.0,2.0,-32.863849084905524,1,8.0
202,11,65.58761318763906,1.0,0.0,2.5,-32.79380659381953,1,8.0
203,12,67.38360292409112,1.0,0.0,3.0,-33.69180146204556,1,8.0
204,13,72.08157948395775,0.0,1.0,2.5,36.04078974197888,1,8.0
205,14,76.36091305352869,0.0,1.0,2.0,38.180456526764345,1,8.0
206,15,79.29366895048989,0.0,1.0,1.5,39.646834475244944,1,8.0
207,16,78.97659915751132,0.0,1.0,1.0,39.48829957875566,1,8.0
208,17,77.34719966410722,0.0,1.0,0.5,38.67359983205361,1,8.0
209,18,73.87717011157949,0.0,1.0,0.0,36.938585055789744,1,8.0
210,19,71.68583647143747,0.0,0.0,0.0,0.0,1,8.0
211,20,68.63930573330768,0.0,0.0,0.0,0.0,1,8.0
212,21,64.54324293862092,0.0,0.0,0.0,0.0,1,8.0
213,22,62.18628356843754,0.0,0.0,0.0,0.0,1,8.0
214,23,58.97797628320774,1.0,0.0,0.5,-29.48898814160387,1,8.0
215,24,57.54340176532567,1.0,0.0,1.0,-28.771700882662834,1,8.0
216,25,56.300885068408704,1.0,0.0,1.5,-28.150442534204352,1,8.0
217,26,56.30310233968827,1.0,0.0,2.0,-28.151551169844137,1,8.0
218,27,54.8174640642377,1.0,0.0,2.5,-27.40873203211885,1,8.0
219,28,55.591291740807776,1.0,0.0,3.0,-27.795645870403888,1,8.0
220,29,55.41507854040647,1.0,0.0,3.5,-27.707539270203235,1,8.0
221,30,58.213274895224366,1.0,0.0,4.0,-29.106637447612183,1,8.0
222,31,58.43239007761407,1.0,0.0,4.5,-29.216195038807037,1,8.0
223,32,63.203957871249656,0.0,1.0,4.0,31.601978935624828,1,8.0
224,33,65.23627546703472,0.0,1.0,3.5,32.61813773351736,1,8.0
225,34,70.22291857478864,0.0,1.0,3.0,35.11145928739432,1,8.0
226,35,70.84041310525005,0.0,1.0,2.5,35.420206552625025,1,8.0
227,36,73.98893832224007,0.0,1.0,2.0,36.99446916112004,1,8.0
228,37,73.15129536097268,0.0,1.0,1.5,36.57564768048634,1,8.0
229,38,72.17791326924126,0.0,1.0,1.0,36.08895663462063,1,8.0
230,39,68.93066183125707,0.0,1.0,0.5,34.465330915628535,1,8.0
231,40,66.11694457748219,0.0,1.0,0.0,33.05847228874109,1,8.0
232,41,60.748418619976576,0.0,0.0,0.0,0.0,1,8.0
233,42,57.03670649797567,0.0,0.0,0.0,0.0,1,8.0
234,43,52.45951135652108,0.0,0.0,0.0,0.0,1,8.0
235,44,47.896367063165115,0.0,0.0,0.0,0.0,1,8.0
236,45,42.84136548186204,0.0,0.0,0.0,0.0,1,8.0
237,46,39.26490690791493,0.0,0.0,0.0,0.0,1,8.0
238,47,35.586438334208616,0.0,0.0,0.0,0.0,1,8.0
239,48,33.3381252567242,0.0,0.0,0.0,0.0,1,8.0
240,1,76.48193171996765,0.0,0.0,0.0,0.0,2,0.5
241,2,77.36440568923669,0.0,0.0,0.0,0.0,2,0.5
242,3,75.60947094779715,0.0,0.0,0.0,0.0,2,0.5
243,4,73.71148673248487,0.0,0.0,0.0,0.0,2,0.5
244,5,71.61622523961535,0.0,0.0,0.0,0.0,2,0.5
